"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.08.2023","3.212,81","3.208,00","3.215,95","3.207,65","","0,15%"
"30.08.2023","3.208,00","3.192,48","3.208,71","3.192,48","","0,49%"
"29.08.2023","3.192,43","3.189,12","3.194,42","3.189,12","","0,10%"
"28.08.2023","3.189,09","3.197,10","3.197,97","3.185,46","","-0,25%"
"25.08.2023","3.197,10","3.190,00","3.197,72","3.190,00","","0,22%"
"24.08.2023","3.190,05","3.189,65","3.192,40","3.186,81","","0,01%"
"23.08.2023","3.189,65","3.195,18","3.198,05","3.187,16","","-0,17%"
"22.08.2023","3.195,17","3.203,22","3.206,84","3.191,80","","-0,25%"
"21.08.2023","3.203,21","3.209,35","3.212,63","3.198,78","","-0,20%"
"18.08.2023","3.209,51","3.206,35","3.211,68","3.203,03","","0,10%"
"17.08.2023","3.206,35","3.212,37","3.215,41","3.204,94","","-0,19%"
"16.08.2023","3.212,37","3.214,54","3.218,74","3.210,13","","-0,07%"
"15.08.2023","3.214,54","3.214,56","3.219,83","3.212,29","","0,00%"
"14.08.2023","3.214,57","3.220,69","3.223,54","3.212,93","","-0,19%"
"11.08.2023","3.220,69","3.213,12","3.220,69","3.213,11","","0,24%"
"10.08.2023","3.213,12","3.212,20","3.217,16","3.211,63","","0,03%"
"09.08.2023","3.212,17","3.216,83","3.219,26","3.209,87","","-0,14%"
"08.08.2023","3.216,83","3.219,44","3.221,75","3.212,52","","-0,08%"
"07.08.2023","3.219,41","3.216,66","3.220,70","3.216,66","","0,09%"
"04.08.2023","3.216,66","3.201,72","3.217,41","3.201,72","","0,47%"
"03.08.2023","3.201,72","3.192,17","3.206,02","3.192,17","","0,30%"
"02.08.2023","3.192,16","3.189,34","3.197,16","3.189,34","","0,09%"
"01.08.2023","3.189,33","3.197,18","3.201,11","3.185,06","","-0,25%"
"31.07.2023","3.197,18","3.181,23","3.197,83","3.181,23","","0,50%"
"28.07.2023","3.181,25","3.173,67","3.181,25","3.173,67","","0,24%"
"27.07.2023","3.173,67","3.174,91","3.181,26","3.171,54","","-0,04%"
"26.07.2023","3.174,92","3.182,86","3.186,51","3.173,63","","-0,25%"
"25.07.2023","3.182,86","3.182,42","3.189,14","3.179,91","","0,01%"
"24.07.2023","3.182,42","3.185,20","3.188,49","3.181,14","","-0,09%"
"21.07.2023","3.185,21","3.173,70","3.185,55","3.173,70","","0,36%"
"20.07.2023","3.173,70","3.174,68","3.179,58","3.171,87","","-0,03%"
"19.07.2023","3.174,68","3.180,00","3.184,17","3.171,29","","-0,17%"
"18.07.2023","3.180,00","3.182,62","3.186,52","3.178,98","","-0,08%"
"17.07.2023","3.182,62","3.184,03","3.188,65","3.180,71","","-0,04%"
"14.07.2023","3.184,03","3.178,31","3.186,51","3.178,31","","0,18%"
"13.07.2023","3.178,31","3.179,87","3.183,46","3.176,75","","-0,05%"
"12.07.2023","3.179,95","3.181,58","3.184,52","3.177,86","","-0,05%"
"11.07.2023","3.181,58","3.181,13","3.187,51","3.179,49","","0,02%"
"10.07.2023","3.181,10","3.190,78","3.192,51","3.181,10","","-0,30%"
"07.07.2023","3.190,78","3.177,22","3.190,78","3.177,22","","0,43%"
"06.07.2023","3.177,21","3.170,77","3.179,27","3.170,77","","0,20%"
"05.07.2023","3.170,77","3.157,49","3.171,50","3.157,49","","0,42%"
"04.07.2023","3.157,36","3.152,12","3.159,53","3.152,11","","0,17%"
"03.07.2023","3.152,07","3.155,32","3.161,87","3.147,99","","-0,10%"
"30.06.2023","3.155,32","3.132,21","3.157,89","3.132,21","","0,74%"
"29.06.2023","3.132,06","3.120,44","3.132,06","3.120,44","","0,37%"
"28.06.2023","3.120,45","3.116,62","3.120,46","3.116,04","","0,12%"
"27.06.2023","3.116,60","3.109,77","3.117,30","3.109,77","","0,22%"
"26.06.2023","3.109,74","3.106,82","3.110,90","3.104,48","","0,09%"
"23.06.2023","3.106,81","3.099,40","3.109,11","3.098,71","","0,24%"
"22.06.2023","3.099,39","3.103,30","3.105,97","3.097,70","","-0,13%"
"21.06.2023","3.103,36","3.097,33","3.105,14","3.097,33","","0,19%"
"20.06.2023","3.097,34","3.093,02","3.102,10","3.093,02","","0,14%"
"19.06.2023","3.093,01","3.082,81","3.093,73","3.082,81","","0,33%"
"16.06.2023","3.082,71","3.064,48","3.082,72","3.064,48","","0,59%"
"15.06.2023","3.064,48","3.056,04","3.065,61","3.056,04","","0,28%"
"14.06.2023","3.056,04","3.051,11","3.056,12","3.050,69","","0,16%"
"13.06.2023","3.051,11","3.047,79","3.052,10","3.047,57","","0,11%"
"12.06.2023","3.047,79","3.046,98","3.051,22","3.044,00","","0,03%"
"09.06.2023","3.046,98","3.038,86","3.047,43","3.036,73","","0,27%"
"07.06.2023","3.038,80","3.034,15","3.043,62","3.034,15","","0,16%"
"06.06.2023","3.034,04","3.034,97","3.038,32","3.032,71","","-0,03%"
"05.06.2023","3.034,95","3.026,89","3.036,05","3.026,89","","0,27%"
"02.06.2023","3.026,89","3.011,49","3.029,85","3.011,49","","0,51%"
"01.06.2023","3.011,49","3.013,46","3.023,26","3.005,89","","-0,07%"
"31.05.2023","3.013,46","3.002,96","3.015,18","3.002,96","","0,35%"
"30.05.2023","3.002,96","3.007,26","3.011,41","3.000,85","","-0,14%"
"29.05.2023","3.007,26","3.007,40","3.009,64","3.003,21","","0,00%"
"26.05.2023","3.007,39","3.003,54","3.010,26","3.003,54","","0,13%"
"25.05.2023","3.003,53","2.996,19","3.005,81","2.996,19","","0,25%"
"24.05.2023","2.996,11","3.005,48","3.008,11","2.996,11","","-0,31%"
